# FIRENZE V6.3
#
# Close Approach output file for integration on 2023-02-08 17:26:13.537507
# Configuration file used: /home/cgregg/codes/PhD_Work/InterstellarMeteoroids/GalacticSimulation/Gaia_DR3_4472832130942575872_110Myr_2000x1Myr.cfg
# Galactic Simulation
# Galactic parameters [M a b] - (Solar masses AU AU):
# Bulge: [14000000000.0, 0.0, 72192682.625] Disk: [79100000000.0, 721926826.25, 51566201.875] Halo: [698000000000.0, 0.0, 4950355380.0]
# Solar parameters [AU, AU/yr]:
# pos = [ 1.50253513e+09 -9.05737086e+08 -1.87942738e+07] vel = [-22.21125568 -42.15195327   0.34297791]
# Galactic Potential: 0 (0-Bailer-Jones 2015, 1-Dybczynski & Berski 2015)
# Integration Method: 2 (0-Euler, 1-RK4, 2-RKF)
# Time-step error tolerance (For RKF): 1e-06
# Initial time-step: 999.9811137685292
# Output every 1000.0 iterations
# heliocentric Distance calculation setting: 3
# 	[0-never, 1 - At the end, 2-When writing to file, 3-Every step]
# Number of initial particles: 2
# Integration lasting for 110000000.0 yrs
# Integrating the following bodies in the Milky Way starting at JD=-36523273294.125
#############################################################################################################
t x y z vx vy vz body jd aprnt_x aprnt_y aprnt_z aprnt_vel_x aprnt_vel_y aprnt_vel_z helio_dist CloseApproachFlag
99968111.94343987 -1718224948.63722 -1528606.77911 +5452488.77252 -27.49860 +49.57718 +5.40493 Gaia_DR3_4472832130942575872_debris_-36523273294.125_373 -9230794.125 +35152.51507 +25604.81793 -67700.09249 -29.79803 +1.00716 +3.87423 80464.952 1
99968111.94343987 -1718270715.13911 -1545870.88792 +5425631.25850 -27.52873 +49.57886 +5.41027 Gaia_DR3_4472832130942575872_debris_-20054150794.125_514 -9230794.125 -10613.98683 +8340.70912 -94557.60651 -29.82815 +1.00885 +3.87957 95516.308 1
99968111.94343987 -1718203125.08844 -1600027.44408 +5485551.16835 -27.53756 +49.58130 +5.41887 Gaia_DR3_4472832130942575872_debris_-15662384794.125_1165 -9230794.125 +56976.06384 -45815.84704 -34637.69666 -29.83699 +1.01129 +3.88817 80902.001 1
99969111.92455363 -1718252446.06339 -1479030.53659 +5457893.58211 -27.49729 +49.57718 +5.40489 Gaia_DR3_4472832130942575872_debris_-36523273294.125_373 -8865544.125 +5355.05224 +26611.96016 -63825.93548 -29.79803 +1.00716 +3.87423 69358.655 1
99969111.92455363 -1718298242.68661 -1496292.96119 +5431041.40822 -27.52741 +49.57886 +5.41023 Gaia_DR3_4472832130942575872_debris_-20054150794.125_514 -8865544.125 -40441.57098 +9349.53556 -90678.10937 -29.82815 +1.00885 +3.87957 99726.897 1
99969111.92455363 -1718230661.47365 -1550447.07738 +5490969.91545 -27.53625 +49.58130 +5.41883 Gaia_DR3_4472832130942575872_debris_-15662384794.125_1165 -8865544.125 +27139.64198 -44804.58063 -30749.60214 -29.83699 +1.01129 +3.88817 60741.655 1
99970111.9056674 -1718279942.17202 -1429454.29294 +5463298.35206 -27.49597 +49.57718 +5.40485 Gaia_DR3_4472832130942575872_debris_-36523273294.125_373 -8500294.125 -24442.41058 +27619.10237 -59951.77802 -29.79803 +1.00716 +3.87423 70387.939 1
99970111.9056674 -1718258196.54130 -1500866.70950 +5496388.62267 -27.53493 +49.58130 +5.41879 Gaia_DR3_4472832130942575872_debris_-15662384794.125_1165 -8500294.125 -2696.77985 -43793.31419 -26861.50740 -29.83699 +1.01129 +3.88817 51445.773 1
99970111.9056674 -1718165266.14384 -1474728.36564 +5559803.52848 -28.94060 +49.36916 +5.49247 Gaia_DR3_4472832130942575872_debris_-291203794.125_882 -8500294.125 +90233.61760 -17654.97033 +36553.39841 -31.24265 +0.79914 +3.96185 98944.200 1
99971111.88678117 -1718307436.96313 -1379878.04819 +5468703.08232 -27.49465 +49.57718 +5.40481 Gaia_DR3_4472832130942575872_debris_-36523273294.125_373 -8135044.125 -54239.87341 +28626.24456 -56077.62012 -29.79803 +1.00716 +3.87423 83103.100 1
99971111.88678117 -1718285730.29142 -1451286.34047 +5501807.28998 -27.53361 +49.58131 +5.41875 Gaia_DR3_4472832130942575872_debris_-15662384794.125_1165 -8135044.125 -32533.20169 -42782.04771 -22973.41247 -29.83699 +1.01129 +3.88817 58450.753 1
99971111.88678117 -1718194205.53636 -1425360.13484 +5565295.87744 -28.93928 +49.36916 +5.49243 Gaia_DR3_4472832130942575872_debris_-291203794.125_882 -8135044.125 +58991.55337 -16855.84208 +40515.17500 -31.24265 +0.79914 +3.96185 73522.800 1
99972111.86789493 -1718313262.72402 -1401705.97032 +5507225.91732 -27.53229 +49.58131 +5.41871 Gaia_DR3_4472832130942575872_debris_-15662384794.125_1165 -7769794.125 -62369.62356 -41770.78121 -19085.31737 -29.83699 +1.01129 +3.88817 77453.324 1
99972111.86789493 -1718199898.89162 -1299511.95659 +5558074.96951 -27.54569 +49.58900 +5.40793 Gaia_DR3_4472832130942575872_debris_-9074735794.125_604 -7769794.125 +50994.20885 +60423.23253 +31763.73482 -29.85038 +1.01898 +3.87739 85207.460 1
99972111.86789493 -1718234126.39094 -1438527.14991 +5472128.33109 -27.55355 +49.58354 +5.41082 Gaia_DR3_4472832130942575872_debris_-7976794294.125_781 -7769794.125 +16766.70953 -78591.96080 -54182.90359 -29.85824 +1.01351 +3.88028 96920.616 1
99972111.86789493 -1718223143.61129 -1375991.90294 +5570788.18598 -28.93796 +49.36916 +5.49239 Gaia_DR3_4472832130942575872_debris_-291203794.125_882 -7769794.125 +27749.48918 -16056.71383 +44476.95129 -31.24265 +0.79914 +3.96185 54827.469 1
